Seconds,FlowRate
86400,29
104400,27.4
105480,175
106200,793
107640,1060
108000,1100
111240,1310
113040,1470
115200,1730
120240,2020
122220,2470
122580,2500
122760,2450
125640,2320
128160,2310
129600,2180
133200,2140
135720,2050
136440,2030
136800,2060
140400,2450
144000,2810
147600,4050
148680,4600
151200,4970
153000,5250
154800,5380
158400,5660
162000,5750
165600,5550
166680,5490
169200,5090
172800,4700
180000,3640
187200,2660
194400,2090
201600,1750
208800,1350
212040,1280
216000,1120
223200,960
230400,826
237600,714
244800,639
252000,579
259200,510
266400,488
280800,429
288000,392
298800,351
309600,317
320400,317
331200,261
345600,234
360000,220
374400,216
396000,216
399600,216
417600,202
432000,202
460800,191
482400,202
504000,193
